caldt,vwretd
20160720,0.004373
20160721,-0.003588
20160722,0.004509
20160725,-0.002880
20160726,0.000199
20160727,-0.001334
20160728,0.001742
20160729,0.001739
20160801,-0.001183
20160802,-0.006411
20160803,0.003364
20160804,0.000503
20160805,0.008638
20160808,-0.000817
20160809,0.000379
20160810,-0.002326
20160811,0.004847
20160812,-0.000708
20160815,0.002835
20160816,-0.005339
20160817,0.002046
20160818,0.002338
20160819,-0.001407
20160822,-0.000531
20160823,0.001901
20160824,-0.005186
20160825,-0.001417
20160826,-0.001507
20160829,0.005327
20160830,-0.001856
20160831,-0.002113
20160901,0.000062
20160902,0.004168
20160906,0.003044
20160907,0.000048
20160908,-0.002212
20160909,-0.024631
20160912,0.014850
20160913,-0.014479
20160914,-0.000556
20160915,0.010268
20160916,-0.003711
20160919,-0.000096
20160920,0.000339
20160921,0.010840
20160922,0.006607
20160923,-0.005616
20160926,-0.008566
20160927,0.006602
20160928,0.005421
20160929,-0.009336
20160930,0.008020
20161003,-0.003092
20161004,-0.004863
20161005,0.004640
20161006,0.000282
20161007,-0.003269
20161010,0.004571
20161011,-0.012473
20161012,0.001211
20161013,-0.002939
20161014,0.000234
20161017,-0.003031
20161018,0.006190
20161019,0.002284
20161020,-0.001259
20161021,0.000169
20161024,0.004968
20161025,-0.003734
20161026,-0.001806
20161027,-0.002978
20161028,-0.003027
20161031,0.000017
20161101,-0.006804
20161102,-0.006457
20161103,-0.004079
20161104,-0.001766
20161107,0.022186
20161108,0.004279
20161109,0.010919
20161110,0.001676
